start_time,end_time,duration_sec,src_ip,dst_ip,protocol,src_port,dst_port,bytes,packets
2025-09-09 01:43:21.532032,2025-09-09 01:43:37.532032,16,10.0.9.12,172.16.2.88,ICMP,80,53,167841,1281
2025-09-09 06:18:00.532032,2025-09-09 06:19:42.532032,102,10.0.0.177,172.16.0.102,UDP,3389,53,549687,2339
2025-09-08 20:00:44.532032,2025-09-08 20:04:31.532032,227,10.0.7.195,172.16.3.113,ICMP,3389,443,910907,949
2025-09-08 20:55:35.532032,2025-09-08 20:56:46.532032,71,10.0.6.207,172.16.10.222,TCP,25,80,482238,556
2025-09-08 23:08:55.532032,2025-09-08 23:09:52.532032,57,10.0.6.117,172.16.10.222,ICMP,22,22,626283,890
2025-09-09 08:28:58.532032,2025-09-09 08:30:18.532032,80,10.0.6.82,172.16.10.222,ICMP,53,22,659251,1916
2025-09-08 16:40:46.532032,2025-09-08 16:41:23.532032,37,10.0.6.222,172.16.7.50,ICMP,443,53,488880,1123
2025-09-09 05:26:39.532032,2025-09-09 05:27:37.532032,58,10.0.4.57,172.16.4.44,UDP,25,25,800206,732
2025-09-08 16:27:11.532032,2025-09-08 16:29:10.532032,119,10.0.1.151,172.16.3.171,TCP,443,22,283960,199
2025-09-09 06:47:06.532032,2025-09-09 06:49:11.532032,125,10.0.3.153,172.16.1.194,TCP,110,443,627505,1012
2025-09-08 16:29:22.532032,2025-09-08 16:30:29.532032,67,10.0.4.165,172.16.5.70,UDP,3389,110,389656,391
2025-09-09 01:32:29.532032,2025-09-09 01:36:40.532032,251,10.0.2.219,172.16.10.165,TCP,110,53,429868,2323
2025-09-09 03:36:33.532032,2025-09-09 03:41:19.532032,286,10.0.3.120,172.16.9.178,TCP,110,80,438706,884
2025-09-08 13:25:11.532032,2025-09-08 13:25:21.532032,10,10.0.4.247,172.16.9.223,UDP,22,3389,495356,2261
2025-09-08 21:22:10.532032,2025-09-08 21:25:09.532032,179,10.0.6.47,172.16.10.253,UDP,80,22,164696,129
2025-09-09 03:06:38.532032,2025-09-09 03:09:36.532032,178,10.0.4.11,172.16.8.199,UDP,3389,3389,278205,2156
2025-09-08 17:12:15.532032,2025-09-08 17:12:24.532032,9,10.0.4.227,172.16.2.158,TCP,110,53,175293,405
2025-09-09 08:17:51.532032,2025-09-09 08:22:04.532032,253,10.0.7.140,172.16.5.84,TCP,80,53,192891,147
2025-09-08 13:36:33.532032,2025-09-08 13:38:55.532032,142,10.0.4.63,172.16.4.129,UDP,443,22,171486,207
2025-09-08 15:45:15.532032,2025-09-08 15:47:33.532032,138,10.0.8.147,172.16.4.2,TCP,3389,22,36750,62
2025-09-08 21:13:15.532032,2025-09-08 21:16:03.532032,168,10.0.3.119,172.16.8.173,UDP,443,443,107665,660
2025-09-09 06:52:13.532032,2025-09-09 06:53:53.532032,100,10.0.7.145,172.16.2.230,ICMP,80,443,594398,2487
2025-09-09 07:56:30.532032,2025-09-09 07:57:39.532032,69,10.0.9.112,172.16.5.118,ICMP,25,443,931268,751
2025-09-08 23:11:18.532032,2025-09-08 23:14:31.532032,193,10.0.3.33,172.16.7.205,ICMP,25,53,695866,809
2025-09-09 04:11:41.532032,2025-09-09 04:13:40.532032,119,10.0.8.170,172.16.5.169,UDP,25,53,185969,3443
2025-09-08 12:48:00.532032,2025-09-08 12:49:05.532032,65,10.0.6.6,172.16.6.125,ICMP,110,53,614031,444
2025-09-09 01:39:56.532032,2025-09-09 01:40:56.532032,60,10.0.7.169,172.16.10.141,TCP,80,110,298240,2015
2025-09-08 22:17:54.532032,2025-09-08 22:21:59.532032,245,10.0.3.169,172.16.8.206,ICMP,25,53,359957,999
2025-09-08 17:50:49.532032,2025-09-08 17:54:15.532032,206,10.0.4.98,172.16.4.36,UDP,25,53,926666,746
2025-09-08 18:01:48.532032,2025-09-08 18:02:04.532032,16,10.0.5.165,172.16.8.136,UDP,53,3389,937264,2526
2025-09-08 09:31:11.532032,2025-09-08 09:35:44.532032,273,10.0.2.220,172.16.0.222,UDP,110,443,123674,232
2025-09-08 19:56:55.532032,2025-09-08 19:57:54.532032,59,10.0.10.7,172.16.2.14,UDP,3389,80,197603,253
2025-09-09 00:00:01.532032,2025-09-09 00:00:20.532032,19,10.0.9.121,172.16.5.11,TCP,443,53,95708,126
2025-09-08 19:23:59.532032,2025-09-08 19:26:02.532032,123,10.0.0.50,172.16.5.164,UDP,110,3389,384211,291
2025-09-08 19:15:31.532032,2025-09-08 19:18:34.532032,183,10.0.9.52,172.16.2.142,ICMP,110,53,476246,445
2025-09-08 17:38:53.532032,2025-09-08 17:42:25.532032,212,10.0.5.244,172.16.10.250,TCP,22,80,938795,1111
2025-09-09 06:29:40.532032,2025-09-09 06:32:26.532032,166,10.0.5.194,172.16.9.104,TCP,22,3389,413155,912
2025-09-08 23:32:36.532032,2025-09-08 23:34:09.532032,93,10.0.0.146,172.16.2.35,UDP,53,443,144106,1974
2025-09-09 02:26:04.532032,2025-09-09 02:28:39.532032,155,10.0.8.108,172.16.3.160,TCP,80,110,732499,498
2025-09-08 21:33:34.532032,2025-09-08 21:35:16.532032,102,10.0.2.161,172.16.1.210,TCP,25,80,298644,230
2025-09-08 23:12:20.532032,2025-09-08 23:12:35.532032,15,10.0.4.103,172.16.7.191,ICMP,53,22,580187,403
2025-09-08 17:57:26.532032,2025-09-08 17:58:39.532032,73,10.0.6.167,172.16.4.151,TCP,80,53,827309,1356
2025-09-08 15:17:59.532032,2025-09-08 15:21:47.532032,228,10.0.9.89,172.16.5.177,TCP,53,25,909913,819
2025-09-09 04:16:34.532032,2025-09-09 04:18:53.532032,139,10.0.3.152,172.16.0.8,TCP,3389,3389,647804,3305
2025-09-09 03:45:05.532032,2025-09-09 03:47:46.532032,161,10.0.5.11,172.16.6.67,ICMP,25,80,428744,405
2025-09-08 09:53:03.532032,2025-09-08 09:54:15.532032,72,10.0.6.185,172.16.5.128,TCP,25,3389,419195,686
2025-09-08 17:21:10.532032,2025-09-08 17:25:06.532032,236,10.0.6.248,172.16.0.68,TCP,110,80,166944,205
2025-09-08 17:32:10.532032,2025-09-08 17:33:52.532032,102,10.0.4.46,172.16.0.98,TCP,22,22,552331,477
2025-09-08 11:59:53.532032,2025-09-08 12:02:51.532032,178,10.0.8.44,172.16.0.171,UDP,53,25,304,0
2025-09-08 14:07:12.532032,2025-09-08 14:11:31.532032,259,10.0.10.8,172.16.10.159,ICMP,110,3389,499326,1704
2025-09-09 03:21:03.532032,2025-09-09 03:23:26.532032,143,10.0.9.11,172.16.1.107,UDP,25,80,581099,1609
2025-09-08 10:32:05.532032,2025-09-08 10:34:14.532032,129,10.0.9.208,172.16.9.47,ICMP,443,53,877456,1198
2025-09-08 17:43:05.532032,2025-09-08 17:43:33.532032,28,10.0.8.20,172.16.3.203,TCP,25,22,413131,414
2025-09-08 15:29:34.532032,2025-09-08 15:32:08.532032,154,10.0.4.39,172.16.4.37,UDP,25,22,555654,739
2025-09-09 07:04:35.532032,2025-09-09 07:06:19.532032,104,10.0.1.173,172.16.4.190,TCP,80,25,384899,402
2025-09-09 02:03:36.532032,2025-09-09 02:04:57.532032,81,10.0.10.49,172.16.7.144,ICMP,443,25,320544,231
2025-09-08 17:09:39.532032,2025-09-08 17:10:03.532032,24,10.0.10.122,172.16.1.36,UDP,80,443,779705,1053
2025-09-09 03:39:11.532032,2025-09-09 03:42:12.532032,181,10.0.9.164,172.16.4.131,TCP,22,443,297952,225
2025-09-08 19:15:45.532032,2025-09-08 19:18:23.532032,158,10.0.9.189,172.16.10.73,TCP,3389,3389,50953,42
2025-09-08 22:37:03.532032,2025-09-08 22:37:22.532032,19,10.0.4.149,172.16.8.238,UDP,443,3389,268150,691
2025-09-08 13:26:12.532032,2025-09-08 13:31:08.532032,296,10.0.8.185,172.16.0.53,TCP,80,53,32188,137
2025-09-08 19:04:15.532032,2025-09-08 19:07:52.532032,217,10.0.2.144,172.16.7.125,UDP,443,443,862253,623
2025-09-09 03:14:04.532032,2025-09-09 03:17:44.532032,220,10.0.8.13,172.16.6.181,ICMP,25,80,756791,681
2025-09-08 13:35:00.532032,2025-09-08 13:35:09.532032,9,10.0.8.59,172.16.9.232,UDP,110,22,463610,430
2025-09-09 05:03:17.532032,2025-09-09 05:07:48.532032,271,10.0.10.242,172.16.6.59,UDP,22,22,999724,710
2025-09-08 22:19:35.532032,2025-09-08 22:21:36.532032,121,10.0.4.117,172.16.10.148,UDP,53,80,106451,86
2025-09-09 04:56:53.532032,2025-09-09 05:01:35.532032,282,10.0.8.140,172.16.6.125,TCP,53,53,905050,10056
2025-09-08 18:23:45.532032,2025-09-08 18:24:01.532032,16,10.0.7.123,172.16.10.119,ICMP,22,110,983482,683
2025-09-08 23:52:34.532032,2025-09-08 23:54:55.532032,141,10.0.8.43,172.16.5.40,ICMP,22,3389,119991,160
2025-09-08 13:56:45.532032,2025-09-08 13:59:41.532032,176,10.0.2.121,172.16.7.248,ICMP,80,80,131641,190
2025-09-08 16:42:17.532032,2025-09-08 16:45:49.532032,212,10.0.9.75,172.16.4.220,TCP,110,80,132219,363
2025-09-09 02:33:38.532032,2025-09-09 02:37:46.532032,248,10.0.0.86,172.16.10.129,ICMP,3389,443,72696,54
2025-09-08 15:13:41.532032,2025-09-08 15:16:43.532032,182,10.0.3.75,172.16.0.129,UDP,80,25,114395,89
2025-09-08 15:58:18.532032,2025-09-08 16:03:15.532032,297,10.0.6.221,172.16.6.12,ICMP,3389,110,566910,1782
2025-09-09 02:41:39.532032,2025-09-09 02:42:11.532032,32,10.0.7.47,172.16.0.69,TCP,110,22,363781,309
2025-09-08 18:09:31.532032,2025-09-08 18:09:56.532032,25,10.0.3.67,172.16.7.51,ICMP,53,22,73215,332
2025-09-08 15:38:20.532032,2025-09-08 15:42:01.532032,221,10.0.8.212,172.16.5.15,ICMP,80,53,788724,956
2025-09-08 22:22:17.532032,2025-09-08 22:26:15.532032,238,10.0.9.19,172.16.3.31,ICMP,443,80,355953,2034
2025-09-09 00:30:40.532032,2025-09-09 00:34:07.532032,207,10.0.6.223,172.16.3.54,UDP,25,110,732001,2027
2025-09-09 08:01:53.532032,2025-09-09 08:06:31.532032,278,10.0.10.235,172.16.1.220,TCP,110,53,830329,2020
2025-09-09 03:44:26.532032,2025-09-09 03:46:45.532032,139,10.0.7.247,172.16.4.221,UDP,110,53,241181,1813
2025-09-08 22:46:13.532032,2025-09-08 22:48:09.532032,116,10.0.2.114,172.16.0.67,TCP,80,443,283955,382
2025-09-08 16:20:56.532032,2025-09-08 16:22:33.532032,97,10.0.1.109,172.16.4.207,ICMP,3389,3389,381882,424
2025-09-09 05:38:26.532032,2025-09-09 05:43:15.532032,289,10.0.4.244,172.16.0.250,TCP,22,53,12432,9
2025-09-08 10:02:28.532032,2025-09-08 10:06:34.532032,246,10.0.9.87,172.16.1.250,UDP,53,22,344547,304
2025-09-08 10:27:05.532032,2025-09-08 10:29:25.532032,140,10.0.7.48,172.16.7.179,UDP,25,53,877553,980
2025-09-08 15:37:38.532032,2025-09-08 15:39:22.532032,104,10.0.4.54,172.16.0.213,UDP,110,53,298456,241
2025-09-08 12:05:06.532032,2025-09-08 12:07:01.532032,115,10.0.10.70,172.16.2.242,TCP,53,3389,64051,99
2025-09-09 07:04:24.532032,2025-09-09 07:08:09.532032,225,10.0.4.100,172.16.9.165,TCP,3389,22,760974,1745
2025-09-09 02:44:43.532032,2025-09-09 02:47:26.532032,163,10.0.1.160,172.16.7.179,TCP,80,443,932428,4570
2025-09-08 23:50:41.532032,2025-09-08 23:54:28.532032,227,10.0.1.150,172.16.0.233,TCP,25,53,236004,235
2025-09-08 09:26:36.532032,2025-09-08 09:27:12.532032,36,10.0.8.96,172.16.0.246,TCP,53,53,224961,206
2025-09-08 10:58:56.532032,2025-09-08 10:59:26.532032,30,10.0.0.199,172.16.0.137,UDP,53,110,91322,72
2025-09-08 21:27:24.532032,2025-09-08 21:30:37.532032,193,10.0.0.178,172.16.4.76,ICMP,3389,443,331572,1205
2025-09-09 06:50:06.532032,2025-09-09 06:52:28.532032,142,10.0.10.138,172.16.8.165,TCP,53,3389,890329,1559
2025-09-09 00:28:19.532032,2025-09-09 00:31:35.532032,196,10.0.4.174,172.16.2.102,UDP,53,110,790943,7909
2025-09-08 17:51:59.532032,2025-09-08 17:52:25.532032,26,10.0.9.84,172.16.8.189,TCP,443,53,67108,130
2025-09-09 08:36:39.532032,2025-09-09 08:39:52.532032,193,10.0.9.148,172.16.8.124,TCP,3389,25,364624,750
2025-09-08 09:08:01.532032,2025-09-08 09:10:08.532032,127,10.0.8.117,172.16.7.70,UDP,443,110,240597,228
2025-09-09 04:49:40.532032,2025-09-09 04:50:07.532032,27,10.0.10.49,172.16.8.154,ICMP,53,22,830223,3205
2025-09-08 20:29:13.532032,2025-09-08 20:29:22.532032,9,10.0.1.224,172.16.10.251,TCP,80,80,158760,452
2025-09-08 14:25:50.532032,2025-09-08 14:29:43.532032,233,10.0.9.125,172.16.1.92,ICMP,3389,22,978569,2666
2025-09-08 21:31:09.532032,2025-09-08 21:34:51.532032,222,10.0.6.87,172.16.5.248,UDP,443,443,65934,51
2025-09-09 05:05:41.532032,2025-09-09 05:06:46.532032,65,10.0.1.180,172.16.3.175,UDP,53,443,817537,6387
2025-09-08 13:24:04.532032,2025-09-08 13:26:03.532032,119,10.0.6.62,172.16.0.183,UDP,110,443,891461,14614
2025-09-08 22:05:39.532032,2025-09-08 22:07:24.532032,105,10.0.5.66,172.16.9.71,ICMP,443,53,457167,1280
2025-09-08 23:48:29.532032,2025-09-08 23:49:11.532032,42,10.0.7.246,172.16.6.52,ICMP,80,443,618886,885
2025-09-09 02:11:16.532032,2025-09-09 02:15:19.532032,243,10.0.2.134,172.16.4.143,UDP,443,110,824553,1332
2025-09-08 18:41:12.532032,2025-09-08 18:41:55.532032,43,10.0.3.141,172.16.0.138,ICMP,110,25,139515,129
2025-09-08 16:32:12.532032,2025-09-08 16:33:31.532032,79,10.0.1.246,172.16.2.113,UDP,443,25,300941,342
2025-09-09 06:57:09.532032,2025-09-09 07:01:16.532032,247,10.0.2.236,172.16.4.59,TCP,22,80,542305,409
2025-09-08 18:10:56.532032,2025-09-08 18:12:18.532032,82,10.0.10.228,172.16.9.181,UDP,110,22,648127,476
2025-09-08 20:57:31.532032,2025-09-08 20:59:05.532032,94,10.0.9.129,172.16.7.156,UDP,80,110,517179,745
2025-09-08 12:42:09.532032,2025-09-08 12:45:58.532032,229,10.0.6.43,172.16.7.117,UDP,80,22,563541,532
2025-09-09 07:13:36.532032,2025-09-09 07:16:34.532032,178,10.0.3.190,172.16.3.127,ICMP,53,22,595868,407
2025-09-08 14:10:40.532032,2025-09-08 14:12:11.532032,91,10.0.6.143,172.16.0.227,ICMP,3389,22,649346,3607
2025-09-08 17:37:04.532032,2025-09-08 17:38:37.532032,93,10.0.5.115,172.16.1.106,ICMP,3389,3389,293581,368
2025-09-08 18:04:26.532032,2025-09-08 18:07:11.532032,165,10.0.1.206,172.16.2.104,ICMP,3389,3389,789548,1017
2025-09-08 18:15:23.532032,2025-09-08 18:18:54.532032,211,10.0.7.103,172.16.8.47,ICMP,22,25,669714,2060
2025-09-08 13:19:10.532032,2025-09-08 13:23:20.532032,250,10.0.10.157,172.16.7.253,TCP,80,22,72902,129
2025-09-08 18:42:17.532032,2025-09-08 18:43:08.532032,51,10.0.10.109,172.16.10.231,ICMP,53,110,956740,1434
2025-09-08 13:18:00.532032,2025-09-08 13:21:59.532032,239,10.0.3.251,172.16.3.10,ICMP,22,53,813854,1942
2025-09-09 03:32:28.532032,2025-09-09 03:36:10.532032,222,10.0.3.111,172.16.3.218,TCP,80,22,498338,615
2025-09-08 09:32:30.532032,2025-09-08 09:37:08.532032,278,10.0.1.121,172.16.6.223,TCP,22,22,634878,434
2025-09-08 09:58:44.532032,2025-09-08 10:00:11.532032,87,10.0.8.164,172.16.0.173,UDP,80,110,651256,1173
2025-09-08 14:55:14.532032,2025-09-08 14:55:34.532032,20,10.0.9.188,172.16.1.14,TCP,53,110,107111,116
2025-09-08 19:52:09.532032,2025-09-08 19:52:44.532032,35,10.0.3.55,172.16.9.190,TCP,443,80,512525,836
2025-09-09 06:09:04.532032,2025-09-09 06:13:25.532032,261,10.0.10.76,172.16.7.181,ICMP,110,443,46968,41
2025-09-09 04:27:22.532032,2025-09-09 04:28:33.532032,71,10.0.10.184,172.16.4.63,UDP,22,3389,929027,5699
2025-09-09 07:07:00.532032,2025-09-09 07:11:00.532032,240,10.0.8.122,172.16.2.16,ICMP,80,53,677826,1783
2025-09-08 14:41:34.532032,2025-09-08 14:42:26.532032,52,10.0.4.30,172.16.3.148,ICMP,25,22,949183,1677
2025-09-09 00:29:35.532032,2025-09-09 00:30:36.532032,61,10.0.6.104,172.16.1.84,TCP,53,443,862460,6295
2025-09-09 02:57:57.532032,2025-09-09 02:59:57.532032,120,10.0.10.128,172.16.5.176,UDP,110,25,783190,1855
2025-09-08 10:19:12.532032,2025-09-08 10:19:14.532032,2,10.0.0.205,172.16.8.42,TCP,25,22,403486,1026
2025-09-08 19:43:18.532032,2025-09-08 19:45:56.532032,158,10.0.7.252,172.16.10.150,TCP,110,53,328215,611
2025-09-08 18:02:52.532032,2025-09-08 18:06:48.532032,236,10.0.8.17,172.16.6.180,ICMP,53,80,951195,698
2025-09-08 08:42:37.532032,2025-09-08 08:46:26.532032,229,10.0.8.55,172.16.3.204,TCP,25,80,276006,275
2025-09-09 08:36:28.532032,2025-09-09 08:39:19.532032,171,10.0.3.248,172.16.7.30,UDP,80,3389,817934,567
2025-09-09 02:58:24.532032,2025-09-09 03:02:51.532032,267,10.0.3.137,172.16.7.250,TCP,53,22,31163,22
2025-09-08 17:46:15.532032,2025-09-08 17:47:34.532032,79,10.0.10.82,172.16.10.76,ICMP,3389,53,392404,312
2025-09-08 10:20:32.532032,2025-09-08 10:24:23.532032,231,10.0.2.133,172.16.1.159,TCP,53,110,930233,2541
2025-09-08 10:49:34.532032,2025-09-08 10:53:39.532032,245,10.0.4.38,172.16.8.124,UDP,53,80,190452,157
2025-09-08 18:00:52.532032,2025-09-08 18:01:12.532032,20,10.0.8.220,172.16.7.74,UDP,110,110,797520,1041
2025-09-08 23:36:34.532032,2025-09-08 23:37:16.532032,42,10.0.8.126,172.16.4.87,ICMP,110,3389,972423,3798
2025-09-09 03:54:18.532032,2025-09-09 03:55:19.532032,61,10.0.3.65,172.16.5.1,UDP,22,110,205536,708
2025-09-08 23:16:39.532032,2025-09-08 23:20:31.532032,232,10.0.7.207,172.16.1.111,ICMP,25,80,808569,1259
2025-09-08 23:20:20.532032,2025-09-08 23:24:40.532032,260,10.0.10.140,172.16.8.19,ICMP,3389,110,732870,518
2025-09-08 15:16:09.532032,2025-09-08 15:18:51.532032,162,10.0.4.147,172.16.10.234,ICMP,443,22,829652,601
2025-09-08 22:15:25.532032,2025-09-08 22:17:26.532032,121,10.0.0.175,172.16.5.216,TCP,80,110,332979,287
2025-09-08 17:31:56.532032,2025-09-08 17:33:42.532032,106,10.0.7.38,172.16.3.140,UDP,80,443,287211,417
2025-09-08 15:33:55.532032,2025-09-08 15:38:50.532032,295,10.0.6.87,172.16.3.33,TCP,3389,22,886672,720
